Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd02295[c]	(rxn21345[c]*)	(rxn21345[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])			(1)	(1)		(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)	(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)		(1)	(1)		0	0	0	0	0
cpd02295[c]	(rxn21343[c]*)	(rxn21343[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])			(1)	(1)		(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)	(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)		(1)	(1)		0	0	0	0	0
cpd02295[c]	(rxn42688[c]*)	(rxn42688[c]*)		[(8)]	[(8)]		(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])	(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])			(1)	(1)		(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)	(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)		(1)	(1)		0	0	0	0	0
cpd02295[c]	(rxn21344[c]*)	(rxn21344[c]*)		[(7)]	[(7)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])			(1)	(1)		(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)	(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)		(1)	(1)		0	0	0	0	0
cpd02295[c]	(rxn24310[c]*)	(rxn24310[c]*)		[(9)]	[(9)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])			(0)	(0)		(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)	(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)		(1)	(1)		0	1	1	0	0
cpd02295[c]	(rxn21345[c]*)	(rxn21345[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])			(1)	(1)		(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)	(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)		(1)	(1)		0	1	0	0	0
cpd02295[c]	(rxn21343[c]*)	(rxn21343[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])			(1)	(1)		(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)	(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)		(1)	(1)		0	1	0	0	0
cpd02295[c]	(rxn42688[c]*)	(rxn42688[c]*)		[(8)]	[(8)]		(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])	(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])			(1)	(1)		(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)	(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)		(1)	(1)		0	1	0	0	0
cpd02295[c]	(rxn21344[c]*)	(rxn21344[c]*)		[(7)]	[(7)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])			(1)	(1)		(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)	(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)		(1)	(1)		0	1	0	0	0
cpd02295[c]	(rxn24310[c]*)	(rxn24310[c]*)		[(9)]	[(9)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])			(0)	(0)		(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)	(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)		(1)	(1)		2	0	0	0	0
cpd02295[c]	(rxn21345[c]*)	(rxn21345[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])			(1)	(1)		(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)	(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)		(1)	(1)		2	0	0	0	0
cpd02295[c]	(rxn21343[c]*)	(rxn21343[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])			(1)	(1)		(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)	(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)		(1)	(1)		2	0	0	0	0
cpd02295[c]	(rxn42688[c]*)	(rxn42688[c]*)		[(8)]	[(8)]		(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])	(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])			(1)	(1)		(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)	(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)		(1)	(1)		2	0	0	0	0
cpd02295[c]	(rxn21344[c]*)	(rxn21344[c]*)		[(7)]	[(7)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])			(1)	(1)		(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)	(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)		(1)	(1)		2	0	0	0	0
cpd02295[c]	(rxn24310[c]*)	(rxn24310[c]*)		[(9)]	[(9)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23602[c] => 2 cpd00067[c] + 1 cpd02295[c] + 1 cpd03214[c])			(0)	(0)		(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)	(cpd00067[c])(*cpd02295[c]*)(cpd03214[c])(cpd00011[c])(cpd00012[c])(cpd23602[c]*)		(1)	(1)		2	1	1	0	0
cpd02295[c]	(rxn21345[c]*)	(rxn21345[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23250[c] => 1 cpd02172[c] + 1 cpd02295[c])			(1)	(1)		(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)	(cpd02172[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23250[c]*)		(1)	(1)		2	1	0	0	0
cpd02295[c]	(rxn21343[c]*)	(rxn21343[c]*)		[(8)]	[(8)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23249[c] => 1 cpd02295[c] + 1 cpd02590[c])			(1)	(1)		(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)	(*cpd02295[c]*)(cpd02590[c])(cpd00011[c])(cpd00012[c])(cpd23249[c]*)		(1)	(1)		2	1	0	0	0
cpd02295[c]	(rxn42688[c]*)	(rxn42688[c]*)		[(8)]	[(8)]		(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])	(1 cpd26978[c] + 1 cpd32473[c] <=> 1 cpd02295[c] + 1 cpd22290[c])			(1)	(1)		(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)	(*cpd02295[c]*)(cpd22290[c]*)(cpd26978[c]*)(cpd32473[c]*)		(1)	(1)		2	1	0	0	0
cpd02295[c]	(rxn21344[c]*)	(rxn21344[c]*)		[(7)]	[(7)]		(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])	(1 cpd00011[c] + 1 cpd00012[c] + 1 cpd23248[c] => 1 cpd00906[c] + 1 cpd02295[c])			(1)	(1)		(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)	(cpd00906[c])(*cpd02295[c]*)(cpd00011[c])(cpd00012[c])(cpd23248[c]*)		(1)	(1)		2	1	0	3	0
cpd02298[c]	(rxn00012[c]*)	(rxn00012[c]*)		[(8)]	[(8)]		(2 cpd00076[c] <=> 1 cpd00027[c] + 1 cpd02298[c])	(2 cpd00076[c] <=> 1 cpd00027[c] + 1 cpd02298[c])			(1)	(1)		(cpd00027[c])(*cpd02298[c]*)(cpd00076[c])	(cpd00027[c])(*cpd02298[c]*)(cpd00076[c])		(1)	(1)		0	0	0	1	0
cpd02591[c]																				0	0	0	3	0
cpd00387[c]	(rxn06165[c]*)	(rxn06165[c]*)		[(8)]	[(8)]		(1 cpd00008[c] => 1 cpd00387[c])	(1 cpd00008[c] => 1 cpd00387[c])			(1)	(1)		(*cpd00387[c]*)(cpd00008[c])	(*cpd00387[c]*)(cpd00008[c])		(1)	(1)		0	0	0	0	1
cpd00387[c]	(rxn25697[c]*)	(rxn25697[c]*)		[(8)]	[(8)]		(1 cpd00008[c] + 1 cpd00794[c] <=> 1 cpd00387[c] + 1 cpd26821[c])	(1 cpd00008[c] + 1 cpd00794[c] <=> 1 cpd00387[c] + 1 cpd26821[c])			(1)	(1)		(*cpd00387[c]*)(cpd26821[c]*)(cpd00008[c])(cpd00794[c])	(*cpd00387[c]*)(cpd26821[c]*)(cpd00008[c])(cpd00794[c])		(1)	(1)		0	0	0	1	0
cpd01062[c]	(RXN-8618[c]*)	(RXN-8618[c]*)		[(8)]	[(8)]		(cpd00283[c] + cpd00001[c] => cpd01062[c] + cpd00012[c])	(cpd00283[c] + cpd00001[c] => cpd01062[c] + cpd00012[c])			(0)	(0)		(*cpd01062[c]*)(cpd00012[c])(cpd00283[c])(cpd00001[c])	(*cpd01062[c]*)(cpd00012[c])(cpd00283[c])(cpd00001[c])		(1)	(1)		0	0	0	1	0
cpd00246[d]	(rxn01358[d]*)	(rxn01358[d]*)		[(8)]	[(8)]		(1 cpd00226[d] + 1 cpd00475[d] <=> 1 cpd00009[d] + 1 cpd00246[d])	(1 cpd00226[d] + 1 cpd00475[d] <=> 1 cpd00009[d] + 1 cpd00246[d])			(1)	(1)		(cpd00009[d])(*cpd00246[d]*)(cpd00226[d])(cpd00475[d])	(cpd00009[d])(*cpd00246[d]*)(cpd00226[d])(cpd00475[d])		(1)	(1)		0	0	0	1	0
cpd00358[c]	(rxn01672[c]*)	(rxn01672[c]*)		[(8)]	[(8)]		(1 cpd00001[c] + 1 cpd00067[c] + 1 cpd00356[c] => 1 cpd00013[c] + 1 cpd00358[c])	(1 cpd00001[c] + 1 cpd00067[c] + 1 cpd00356[c] => 1 cpd00013[c] + 1 cpd00358[c])			(1)	(1)		(cpd00013[c])(*cpd00358[c]*)(cpd00001[c])(cpd00067[c])(cpd00356[c])	(cpd00013[c])(*cpd00358[c]*)(cpd00001[c])(cpd00067[c])(cpd00356[c])		(1)	(1)		0	0	0	0	1
cpd00358[c]	(rxn42430[c]*)	(rxn42430[c]*)		[(5)]	[(5)]		(2 cpd00009[c] + 3 cpd00067[c] + 1 cpd00299[c] <=> 2 cpd00001[c] + 1 cpd00358[c])	(2 cpd00009[c] + 3 cpd00067[c] + 1 cpd00299[c] <=> 2 cpd00001[c] + 1 cpd00358[c])			(1)	(1)		(cpd00001[c])(*cpd00358[c]*)(cpd00009[c])(cpd00067[c])(cpd00299[c])	(cpd00001[c])(*cpd00358[c]*)(cpd00009[c])(cpd00067[c])(cpd00299[c])		(1)	(1)		0	0	0	1	0
