Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd00374[c]	(rxn24117[c]*)	(rxn24117[c]*)		[(6)]	[(6)]		(1 cpd02361[c] => 1 cpd00374[c])	(1 cpd02361[c] => 1 cpd00374[c])			(1)	(1)		(*cpd00374[c]*)(cpd02361[c])	(*cpd00374[c]*)(cpd02361[c])		(1)	(1)		0	1	1	0	1
cpd00374[c]	(rxn24117[c]*)	(rxn24117[c]*)		[(6)]	[(6)]		(1 cpd02361[c] => 1 cpd00374[c])	(1 cpd02361[c] => 1 cpd00374[c])			(1)	(1)		(*cpd00374[c]*)(cpd02361[c])	(*cpd00374[c]*)(cpd02361[c])		(1)	(1)		2	0	0	0	1
cpd00374[c]	(rxn24117[c]*)	(rxn24117[c]*)		[(6)]	[(6)]		(1 cpd02361[c] => 1 cpd00374[c])	(1 cpd02361[c] => 1 cpd00374[c])			(1)	(1)		(*cpd00374[c]*)(cpd02361[c])	(*cpd00374[c]*)(cpd02361[c])		(1)	(1)		2	1	1	1	1
cpd03503[c]	(rxn02598[c]*)	(rxn02598[c]*)		[(8)]	[(8)]		(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])	(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])			(1)	(1)		(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])	(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])		(1)	(1)		0	0	0	0	1
cpd03503[c]	(rxn02598[c]*)	(rxn02598[c]*)		[(8)]	[(8)]		(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])	(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])			(1)	(1)		(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])	(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])		(1)	(1)		0	1	1	0	1
cpd03503[c]	(rxn02598[c]*)	(rxn02598[c]*)		[(8)]	[(8)]		(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])	(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])			(1)	(1)		(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])	(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])		(1)	(1)		2	0	0	0	1
cpd03503[c]	(rxn02598[c]*)	(rxn02598[c]*)		[(8)]	[(8)]		(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])	(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd01135[c] <=> 1 cpd00006[c] + 1 cpd03503[c])			(1)	(1)		(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])	(cpd00006[c])(*cpd03503[c]*)(cpd00005[c])(cpd00067[c])(cpd01135[c])		(1)	(1)		2	1	1	1	1
cpd08986[c]	(rxn04425[c]*)	(rxn04425[c]*)		[(8)]	[(8)]		(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd07830[c] <=> 1 cpd00006[c] + 1 cpd08986[c])	(1 cpd00005[c] + 1 cpd00067[c] + 1 cpd07830[c] <=> 1 cpd00006[c] + 1 cpd08986[c])			(1)	(1)		(cpd00006[c])(*cpd08986[c]*)(cpd00005[c])(cpd00067[c])(cpd07830[c])	(cpd00006[c])(*cpd08986[c]*)(cpd00005[c])(cpd00067[c])(cpd07830[c])		(1)	(1)		0	0	0	1	0
cpd03214[d]	(rxn01487[d]*)	(rxn01487[d]*)		[(8)]	[(8)]		(3 cpd00005[d] + 3 cpd00067[d] + 1 cpd00289[d] => 3 cpd00006[d] + 1 cpd03214[d])	(3 cpd00005[d] + 3 cpd00067[d] + 1 cpd00289[d] => 3 cpd00006[d] + 1 cpd03214[d])			(1)	(1)		(cpd00006[d])(*cpd03214[d]*)(cpd00005[d])(cpd00067[d])(cpd00289[d])	(cpd00006[d])(*cpd03214[d]*)(cpd00005[d])(cpd00067[d])(cpd00289[d])		(1)	(1)		0	0	0	1	0
cpd03566[d]	(Transport_cd_cpd03566[d])	(Transport_cd_cpd03566[d])		[(T)]	[(T)]		(cpd03566[c] <=> cpd03566[d])	(cpd03566[c] <=> cpd03566[d])			(1)	(1)		(*cpd03566[d]*)(cpd03566[c])	(*cpd03566[d]*)(cpd03566[c])		(1)	(1)		0	0	0	0	0
